Service Domain ID,Service Domain Name,Focus Object,Applicability,Primary Control Record Candidate,Rationale,Stateful,Business Object Available,Service Operations Available,Business Events Available,Scenarios Available,Recommended Action,Review Status
RAIA-SD-001,"Política del Sistema de Ahorro para el Retiro","Objeto de Política del Sistema de Ahorro para el Retiro",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-002,"Estrategia de Industria","Objeto de Estrategia de Industria",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-003,"Planeación Sectorial","Objeto de Planeación Sectorial",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-004,"Gestión de Capacidades de Industria","Objeto de Gestión de Capacidades de Industria",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-005,"Gestión del Modelo Operativo","Objeto de Gestión del Modelo Operativo",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-006,"Gestión de Resultados del SAR","Objeto de Gestión de Resultados del SAR",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-007,"Gestión del Marco Regulatorio","Objeto de Gestión del Marco Regulatorio",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-008,"Gestión del Cambio Regulatorio","Objeto de Gestión del Cambio Regulatorio",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-009,"Autorización de Participantes","Objeto de Autorización de Participantes",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-010,"Autorización de AFORE y SIEFORE","Objeto de Autorización de AFORE y SIEFORE",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-011,"Gestión Regulatoria de Comisiones","Objeto de Gestión Regulatoria de Comisiones",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-012,"Gestión de Criterios y Consultas Normativas","Objeto de Gestión de Criterios y Consultas Normativas",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-013,"Gobierno Corporativo","Objeto de Gobierno Corporativo",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-014,"Gestión de Portafolio de Industria","Objeto de Gestión de Portafolio de Industria",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-015,"Gestión de Beneficios","Objeto de Gestión de Beneficios",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-016,"Métricas del Sistema","Objeto de Métricas del Sistema",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-017,"Transparencia Sectorial","Objeto de Transparencia Sectorial",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-018,"Gestión de Stakeholders del SAR","Objeto de Gestión de Stakeholders del SAR",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-019,"Supervisión Regulatoria","Objeto de Supervisión Regulatoria",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-022,"Inspección Regulatoria","Objeto de Inspección Regulatoria",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-024,"Información Regulatoria","Objeto de Información Regulatoria",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-025,"Atención de Requerimientos Regulatorios","Objeto de Atención de Requerimientos Regulatorios",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-026,"Programas Correctivos","Objeto de Programas Correctivos",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-027,"Gestión de Sanciones","Objeto de Gestión de Sanciones",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-028,"Seguimiento de Hallazgos","Objeto de Seguimiento de Hallazgos",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-029,"Gestión de Riesgo Empresarial","Objeto de Gestión de Riesgo Empresarial",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-030,"Gestión de Riesgo Operacional","Objeto de Gestión de Riesgo Operacional",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-032,"Cumplimiento Normativo","Objeto de Cumplimiento Normativo",supporting-control-record,No,"Monitorea o resguarda información auxiliar de control para trazabilidad de auditoría.",Yes,Yes,Yes,Yes,Yes,LINK_EXISTING,validated
RAIA-SD-033,"Prevención de Lavado de Dinero y Financiamiento al Terrorismo","Objeto de Prevención de Lavado de Dinero y Financiamiento al Terrorismo",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-034,"Prevención y Gestión de Fraude","Objeto de Prevención y Gestión de Fraude",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-035,"Gestión de Riesgo de Terceros","Objeto de Gestión de Riesgo de Terceros",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-036,"Gestión de Conflictos de Interés","Objeto de Gestión de Conflictos de Interés",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-037,"Continuidad de Negocio","Objeto de Continuidad de Negocio",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-038,"Recuperación ante Desastres","Objeto de Recuperación ante Desastres",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-039,"Ciberseguridad","Objeto de Ciberseguridad",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
