Service Domain ID,Business Area,Business Domain,Name,Landscape Layer,Capability Type,Focus Object,Accountable Participant,Applicable Regimes,Regulatory Criticality,Regulatory Sources,Articles,Coverage Status,Semantic Status,Recommended Action,Proposed Replacement or Split,Reviewer
RAIA-SD-001,Gobierno y Dirección del SAR,Estrategia y Política del SAR,Política del Sistema de Ahorro para el Retiro,sector-governance,regulated-core,Objeto de Política del Sistema de Ahorro para el Retiro,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-002,Gobierno y Dirección del SAR,Estrategia y Política del SAR,Estrategia de Industria,sector-governance,regulated-core,Objeto de Estrategia de Industria,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-003,Gobierno y Dirección del SAR,Estrategia y Política del SAR,Planeación Sectorial,sector-governance,regulated-core,Objeto de Planeación Sectorial,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-004,Gobierno y Dirección del SAR,Estrategia y Política del SAR,Gestión de Capacidades de Industria,sector-governance,regulated-core,Objeto de Gestión de Capacidades de Industria,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-005,Gobierno y Dirección del SAR,Estrategia y Política del SAR,Gestión del Modelo Operativo,sector-governance,regulated-core,Objeto de Gestión del Modelo Operativo,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-006,Gobierno y Dirección del SAR,Estrategia y Política del SAR,Gestión de Resultados del SAR,sector-governance,regulated-core,Objeto de Gestión de Resultados del SAR,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-007,Gobierno y Dirección del SAR,Regulación y Autorizaciones,Gestión del Marco Regulatorio,sector-governance,regulated-core,Objeto de Gestión del Marco Regulatorio,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-008,Gobierno y Dirección del SAR,Regulación y Autorizaciones,Gestión del Cambio Regulatorio,sector-governance,regulated-core,Objeto de Gestión del Cambio Regulatorio,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-009,Gobierno y Dirección del SAR,Regulación y Autorizaciones,Autorización de Participantes,sector-governance,regulated-core,Objeto de Autorización de Participantes,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-010,Gobierno y Dirección del SAR,Regulación y Autorizaciones,Autorización de AFORE y SIEFORE,sector-governance,regulated-core,Objeto de Autorización de AFORE y SIEFORE,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
